config-benchmark;totalCycles;totalCommitted;totalBranches;totalBranchLatency;totalMispredicts;totalFilledMSHRs;totalMemAccesses;totalHitsInCache;totalMissesInCache;totalTaintsCalced;totalYrotsOnCalc;totalTaintedLoads;totalFilledIntIssueSlots;totalFilledFpIssueSlots;totalFilledMemIssueSlots;totalStallIFURedirect;totalStallROCCWait;totalStallWaitForEmpty;totalStallRenStall;totalStallIssueFull;totalStallSTQFull;totalStallLSQFull;totalStallROBNotReady
nda-520.omnetpp;8293351748;4893472824;754374763;39131072587;59192385;5400813521;3678069079;2077216385;445915695;0;0;0;102571841876;1050900576;67792824576;416156079;0;1175080165;1093816;73550939;170665788;471505873;1812261923
nda-521.wrf;8289905367;6421381290;465004634;13480244562;10886756;5047431566;2637653639;1969492929;514162857;0;0;0;55572742915;102819014975;24226262887;66027505;0;2736858098;79983808;190928574;230761205;498460105;2654363142
nda-523.xalancbmk;8289994604;3308160909;747333706;97270408541;16571039;6491389536;1660432537;1117581339;522519978;0;0;0;174221478684;2401053;86721826435;113658411;0;1084530631;3999702;26686238;103563298;272125961;1709067065
nda-525.x264;8281344820;15397745268;531124312;9812774263;20914380;1918473623;6039275448;4887737913;277660791;0;0;0;120897374532;507717656;41894090271;123986964;0;1370052045;158562607;201726971;680465897;186122324;1230370310
nda-527.cam4;8287782467;6193891183;1668781838;82537530222;8236904;3962262279;2699230525;1875318509;540651301;0;0;0;109679432267;6541760916;20491080049;94993292;0;1625799585;256030747;24124047;528944978;243313373;3482371874
nda-531.deepsjeng;8289489723;7639831746;741585504;26257055033;51673404;3080705675;4330368785;2744474133;396668552;0;0;0;147615085570;35925;37315557202;186092445;0;1332663613;63140078;186475208;775919338;200297315;1500797258
nda-538.imagick;8289370802;10760153424;979939421;22061645051;1787161;3498822116;3002501769;2265784017;865017999;0;0;0;98111425707;183444857559;6973478534;22683005;0;1420234770;379497;311430724;59025103;20326531;1099827309
nda-541.leela;8288380110;7237483038;595848954;27541821051;85175187;810133616;2620550441;2122271391;124859680;0;0;0;164928343767;193860160;47317390599;250760336;0;1032507279;67006710;366731667;79821813;178633251;1371598642
nda-544.nab;8292928107;5804821876;933251852;37609208666;95237548;1527289555;3434054967;2006166293;179137370;0;0;0;112236986093;39495527694;52750144931;209114105;0;1186729852;2140325;57730967;657022889;2182614269;1439673526
nda-548.exchange2;8292606235;13132494736;1779104351;38311152437;74639491;17342373;4932439666;4651478572;1953584;0;0;0;138680411585;46413;68893463149;150291545;0;1021344550;23969629;202228879;92633901;98295192;1179241864
nda-549.fotonik3d;8292313282;8177881834;1296893426;44046061702;25478925;193872720;3928276522;2917315480;23598599;0;0;0;139960566726;2404877;55378808567;269721851;0;1089402442;1761869;73504099;265733254;357179461;1657345670
nda-554.roms;8289031969;5851963855;313875931;7281032712;3299150;7937694015;4233646122;2176427955;1201002125;0;0;0;44300338993;118791968105;14833994847;93264082;0;1508173166;8180675;224851366;1186449453;1182448873;1823150221
nda-557.xz;8289780194;7635676018;769679501;21020018374;76297201;1772300452;2232014305;1490690473;245262256;0;0;0;135167264312;35245;24932357690;196597591;0;1553017834;4966964;106035124;355690721;15316250;1193360537
stt-register-500.perlbench;8337306659;6168837983;809894876;26377537737;63545755;1897405401;3791241557;2738637426;201274681;8486514229;7416753066;410548117;83544680526;126395851;58442743694;634559333;158993817;1304054194;10196965;36382787;229717061;468317799;2024354622
stt-register-502.gcc;8336371590;5516697236;692894254;25947333843;65876674;3191192568;3109977618;2527604772;339252724;6761547225;6018452025;248424031;60741367072;245882;40628830359;491854645;155392134;1164966127;14427085;36862028;269602131;573834452;1681253025
stt-register-503.bwaves;8338596179;4322388906;191658404;4004505471;3341805;9831068246;5409571403;1748119326;2522563783;4671543909;4564962709;24257931;18873523639;96280082387;8798735421;183716009;122352770;1391449784;10457732;159748642;1693693470;2093341176;1845006861
stt-register-505.mcf;8338716328;2982084466;663442733;59057483467;50227403;13077640524;1829717980;1287670404;785009622;4922181558;4139883691;571175103;124862638089;31212;83602807519;225972582;52985166;1063098160;302279;28991923;43086845;3729738556;1518862405
stt-register-507.cactuBSSN;8338420794;6877391037;80604331;2758406914;3404277;11986374000;6331985831;2483402246;2427657668;7525596165;7464981665;17421463;22696203957;73661094817;13337274054;47351107;106944513;1723823509;227566863;67991021;1138403604;2507374139;1436171412
stt-register-508.namd;8338304502;10634625447;651737700;18294814726;28519287;4501078011;3796347124;2915307876;761481473;11980735490;10845097618;797718113;80011671643;116195378416;64312145288;161503030;230194048;1337804073;5101521;280584668;218388874;223626287;1812810545
stt-register-510.parest;8343493052;6184219478;1013985088;38916787605;56827742;4569110319;3149777348;2285341488;484543375;7881301304;6969656005;351353328;107597950676;12500432837;68437926967;370846471;102719215;1372194005;143007224;93273102;150763166;1163926455;1773566781
stt-register-511.povray;8339057182;5738000914;528164795;29080629038;36893707;1697201456;4940019626;2785254287;213988283;7547108407;6543287726;406175157;68770839319;56554318199;81685392324;1497939279;282607431;1108242280;596674;83021005;109098433;1868691406;2734901249
stt-register-519.lbm;8340858901;7120624866;122878573;5208857823;1839432;30260291687;4657959254;2086839369;1751907410;7589592442;7524753354;17658109;30760075427;171909836088;5628988156;47879754;68987445;1196121819;383941768;789150854;598353376;242949695;1110283049
stt-register-520.omnetpp;8339039706;4923363567;758725067;35539124382;66977712;5461056049;3000559065;2155007148;442409179;6531279424;5643516036;323217183;77900984246;342588987;59480438165;871522924;98351993;1162431179;3344332;38938809;157713671;317782710;2573281747
stt-register-521.wrf;8337406201;7289219960;505625283;8914822318;11980569;5989154319;3065699400;2257519066;677521575;7901581403;7721490463;50673117;28222265300;81324574527;19437337890;158187563;152412369;2724186700;102722158;44894259;269153627;853417759;3516672000
stt-register-523.xalancbmk;8337841420;3425316581;775961689;95898774728;17988859;6842478728;1629197380;1178372803;536258841;3886987848;3176388659;194661203;162074907709;3860356;84621285613;194579232;46022984;1078868336;7914100;72819622;99254713;297619020;1926248221
stt-register-525.x264;8336557244;16855339357;591169498;8602192086;23710847;2076542607;6365095253;5323999754;301186907;17258770208;17005150740;92434276;70690120325;497801432;39713139525;150504954;466821061;1345749077;267751287;42783501;742839111;322182363;1303955148
stt-register-527.cam4;8336347605;6468120233;1784819909;85717318645;9136253;4100006396;2746509853;1985138085;563710831;6763052949;5714197799;63831730;94049940361;4064616003;16240339277;175930252;50072150;1572911946;95625877;7490301;576476166;131365034;3896471086
stt-register-531.deepsjeng;8345805731;9020765611;876727775;24781296947;61802087;3259629439;4268338019;3149712227;414579704;10891892909;10045798894;240960476;97746271977;34366;36396249774;332713703;125419538;1304381068;372224110;31651952;779726419;204746342;1810419993
stt-register-538.imagick;8342589445;19693615565;1768977571;31789771474;2409014;7681861105;6507203370;3458178058;2852418467;19722911665;18972985710;41130270;80181149443;172258476167;13986668929;28785206;665867461;1344874497;605709;125489520;92332753;38903288;1167398140
stt-register-541.leela;8338475173;8271007110;685811106;29231965819;99248288;986671105;2756762011;2297951289;147913945;11148386536;10269605185;513010472;120916583545;187940138;47497048513;273523052;77881283;1030399094;199742695;339006313;105982457;99054277;1441158632
stt-register-544.nab;8334991067;6121687125;983135071;34792999314;103963177;1657907420;2612049062;2109662237;193611877;8610136908;7898302064;296840347;80013863098;39320993646;52839282928;439039015;122371548;1173463804;11388674;18553688;473865545;2127431114;1866982008
stt-register-548.exchange2;8339113841;12980231271;1760235157;38349750826;74055396;17316401;4758519697;4563939275;1930275;15290491517;13188234328;664827090;83006717481;42487;66148779792;181447930;215071893;1019729060;305219303;103125477;64262757;133392207;1597630734
stt-register-549.fotonik3d;8335826214;8141541278;1291084412;40001216071;31391133;190814104;3494958917;2966242633;23197312;8998992076;8024052312;363183341;83076128081;2227861;50024249762;728219068;117415841;1081343150;533826;5314780;204181954;364229346;3135099357
